Format = Name, Patch, Type, Ra, Dec, I, Q, U, V, SpectralIndex, LogarithmicSI, ReferenceFrequency='150.e6', MajorAxis, MinorAxis, Orientation

, cluster1, POINT, , , , , , , , , , , ,
GLEAM J003445-372351, cluster1, POINT, 00:34:45.781, -37.23.51.161, 1.16103529930115, 0, 0, 0, [-1.03668260574341, 0], true, 200000000, , ,
GLEAM J002727-391528, cluster1, POINT, 00:27:27.133, -39.15.28.441, 2.06853890419006, 0, 0, 0, [-1.37994515895844, 0], true, 200000000, , ,
GLEAM J002851-415736, cluster1, POINT, 00:28:51.193, -41.57.36.848, 2.77881765365601, 0, 0, 0, [-0.942645788192749, 0], true, 200000000, , ,
GLEAM J010837-285124, cluster1, POINT, 01:08:37.967, -28.51.24.879, 4.7353458404541, 0, 0, 0, [-0.0311858933418989, 0], true, 200000000, , ,
GLEAM J011539-281707, cluster1, POINT, 01:15:39.547, -28.17.07.84, 2.54377484321594, 0, 0, 0, [-0.663814961910248, 0], true, 200000000, , ,
GLEAM J004444-295333, cluster1, POINT, 00:44:44.889, -29.53.33.343, 0.777748584747314, 0, 0, 0, [-0.871381759643555, 0], true, 200000000, , ,
GLEAM J005908-285952, cluster1, POINT, 00:59:08.168, -28.59.52.55, 1.53259456157684, 0, 0, 0, [-0.76394921541214, 0], true, 200000000, , ,
, cluster2, POINT, , , , , , , , , , , ,
GLEAM J235701-344532, cluster2, POINT, 23:57:01.201, -34.45.32.3, 16.3266334533691, 0, 0, 0, [-1.12013328075409, 0], true, 200000000, , ,
GLEAM J000312-355630, cluster2, GAUSSIAN, 00:03:12.911, -35.56.30.23, 5.21335411071777, 0, 0, 0, [-1.12558043003082, 0], true, 200000000, 165.384399414063, 143.316619873047, -68.2543182373047
GLEAM J233343-305753, cluster2, POINT, 23:33:43.418, -30.57.53.108, 4.11431360244751, 0, 0, 0, [-0.224971875548363, 0], true, 200000000, , ,
GLEAM J000042-342358, cluster2, POINT, 00:00:42.14, -34.23.58.33, 2.35437083244324, 0, 0, 0, [-0.952540338039398, 0], true, 200000000, , ,
GLEAM J235641-314919, cluster2, POINT, 23:56:41.191, -31.49.19.579, 1.99046468734741, 0, 0, 0, [-0.611463844776154, 0], true, 200000000, , ,
GLEAM J233429-334502, cluster2, POINT, 23:34:29.59, -33.45.02.499, 3.03480362892151, 0, 0, 0, [-0.982325315475464, 0], true, 200000000, , ,
GLEAM J232327-305754, cluster2, POINT, 23:23:27.51, -30.57.54.934, 2.3339569568634, 0, 0, 0, [-0.805594325065613, 0], true, 200000000, , ,
GLEAM J235945-330350, cluster2, POINT, 23:59:45.732, -33.03.50.933, 1.17879605293274, 0, 0, 0, [-1.10056495666504, 0], true, 200000000, , ,
GLEAM J233752-345446, cluster2, POINT, 23:37:52.009, -34.54.46.464, 1.94643330574036, 0, 0, 0, [-0.693535804748535, 0], true, 200000000, , ,
GLEAM J233535-343328, cluster2, POINT, 23:35:35.728, -34.33.28.466, 1.84227895736694, 0, 0, 0, [-0.898660123348236, 0], true, 200000000, , ,
GLEAM J233913-330105, cluster2, POINT, 23:39:13.308, -33.01.05.726, 1.55454969406128, 0, 0, 0, [-0.496171653270721, 0], true, 200000000, , ,
GLEAM J000217-333118, cluster2, POINT, 00:02:17.329, -33.31.18.168, 0.927546262741089, 0, 0, 0, [-0.871615767478943, 0], true, 200000000, , ,
GLEAM J234805-312424, cluster2, POINT, 23:48:05.405, -31.24.24.423, 0.88671487569809, 0, 0, 0, [-0.916386187076569, 0], true, 200000000, , ,
GLEAM J000341-310355, cluster2, POINT, 00:03:41.13, -31.03.55.032, 0.723456859588623, 0, 0, 0, [-0.73347681760788, 0], true, 200000000, , ,
GLEAM J234509-373008, cluster2, POINT, 23:45:09.573, -37.30.08.871, 1.51786124706268, 0, 0, 0, [-0.835945069789886, 0], true, 200000000, , ,
GLEAM J234531-362652, cluster2, POINT, 23:45:31.392, -36.26.52.82, 1.27608585357666, 0, 0, 0, [-0.889326155185699, 0], true, 200000000, , ,
GLEAM J230455-343129, cluster2, POINT, 23:04:55.664, -34.31.29.044, 3.64937162399292, 0, 0, 0, [-0.553197681903839, 0], true, 200000000, , ,
GLEAM J000427-310749, cluster2, POINT, 00:04:27.798, -31.07.48.999, 0.616005957126617, 0, 0, 0, [-0.619505286216736, 0], true, 200000000, , ,
GLEAM J233718-323148, cluster2, POINT, 23:37:18.64, -32.31.48.765, 0.835785448551178, 0, 0, 0, [-0.934017539024353, 0], true, 200000000, , ,
GLEAM J001218-332157, cluster2, POINT, 00:12:18.127, -33.21.57.261, 4.95878458023071, 0, 0, 0, [-0.823659479618073, 0], true, 200000000, , ,
GLEAM J234146-350620, cluster2, POINT, 23:41:46.106, -35.06.20.498, 8.19087696075439, 0, 0, 0, [-0.539777934551239, 0], true, 200000000, , ,
GLEAM J001524-380439, cluster2, POINT, 00:15:24.0, -38.04.39.863, 7.48654413223267, 0, 0, 0, [-1.0119823217392, 0], true, 200000000, , ,
GLEAM J000355-305949, cluster2, POINT, 00:03:55.139, -30.59.49.851, 3.63673424720764, 0, 0, 0, [-0.799600183963776, 0], true, 200000000, , ,
GLEAM J233426-412520, cluster2, POINT, 23:34:26.125, -41.25.20.851, 22.2153282165527, 0, 0, 0, [-0.703248798847198, 0], true, 200000000, , ,
GLEAM J233648-344403, cluster2, POINT, 23:36:48.56, -34.44.03.956, 5.89681148529053, 0, 0, 0, [-1.15675187110901, 0], true, 200000000, , ,
GLEAM J000245-302825, cluster2, POINT, 00:02:45.867, -30.28.25.339, 2.28715014457703, 0, 0, 0, [-0.870789229869843, 0], true, 200000000, , ,
GLEAM J000143-305731, cluster2, POINT, 00:01:43.556, -30.57.31.025, 2.31302666664124, 0, 0, 0, [-0.840491890907288, 0], true, 200000000, , ,
GLEAM J000924-314614, cluster2, POINT, 00:09:24.661, -31.46.14.062, 2.25368642807007, 0, 0, 0, [-1.06468343734741, 0], true, 200000000, , ,
GLEAM J235553-300046, cluster2, POINT, 23:55:53.335, -30.00.46.479, 2.21407461166382, 0, 0, 0, [-0.950448393821716, 0], true, 200000000, , ,
GLEAM J232634-402715, cluster2, POINT, 23:26:34.175, -40.27.15.851, 11.3486385345459, 0, 0, 0, [-0.617888331413269, 0], true, 200000000, , ,
GLEAM J234455-304058, cluster2, POINT, 23:44:55.532, -30.40.58.452, 2.17094707489014, 0, 0, 0, [-0.770589351654053, 0], true, 200000000, , ,
GLEAM J233954-331011, cluster2, POINT, 23:39:54.814, -33.10.11.362, 2.75954627990723, 0, 0, 0, [-0.729210734367371, 0], true, 200000000, , ,
GLEAM J001636-382643, cluster2, GAUSSIAN, 00:16:36.398, -38.26.43.88, 3.80822992324829, 0, 0, 0, [-0.849296748638153, 0], true, 200000000, 185.265151977539, 153.398666381836, 26.9131927490234
GLEAM J234850-314412, cluster2, POINT, 23:48:50.691, -31.44.12.759, 1.83740532398224, 0, 0, 0, [-0.827557265758514, 0], true, 200000000, , ,
GLEAM J001038-322510, cluster2, POINT, 00:10:38.525, -32.25.10.744, 1.53937363624573, 0, 0, 0, [-0.970979571342468, 0], true, 200000000, , ,
GLEAM J233703-324041, cluster2, POINT, 23:37:03.267, -32.40.41.684, 2.34961867332458, 0, 0, 0, [-0.733683109283447, 0], true, 200000000, , ,
GLEAM J232036-335325, cluster2, GAUSSIAN, 23:20:36.782, -33.53.25.92, 4.00432825088501, 0, 0, 0, [-0.884312093257904, 0], true, 200000000, 178.470169067383, 131.112701416016, 87.2502517700195
GLEAM J000601-423445, cluster2, POINT, 00:06:01.76, -42.34.45.219, 7.05160856246948, 0, 0, 0, [-0.756801545619965, 0], true, 200000000, , ,
GLEAM J233247-313728, cluster2, POINT, 23:32:47.183, -31.37.28.586, 1.91297936439514, 0, 0, 0, [-0.867915213108063, 0], true, 200000000, , ,
GLEAM J235258-295523, cluster2, POINT, 23:52:58.799, -29.55.23.982, 1.16868901252747, 0, 0, 0, [-0.734666347503662, 0], true, 200000000, , ,
GLEAM J000412-343110, cluster2, POINT, 00:04:12.033, -34.31.10.972, 1.3522253036499, 0, 0, 0, [-1.07265543937683, 0], true, 200000000, , ,
GLEAM J230223-371805, cluster2, POINT, 23:02:23.965, -37.18.05.051, 9.5726490020752, 0, 0, 0, [-0.438634157180786, 0], true, 200000000, , ,
GLEAM J001030-442259, cluster2, POINT, 00:10:30.508, -44.22.59.622, 10.8098154067993, 0, 0, 0, [-0.949730634689331, 0], true, 200000000, , ,
GLEAM J234337-300837, cluster2, POINT, 23:43:37.427, -30.08.37.847, 1.15429854393005, 0, 0, 0, [-1.11504256725311, 0], true, 200000000, , ,
GLEAM J235910-605553, cluster2, GAUSSIAN, 23:59:10.217, -60.55.53.357, 55.8764038085938, 0, 0, 0, [-0.677277863025665, 0], true, 200000000, 218.83544921875, 166.16813659668, -21.4040946960449
GLEAM J235103-383927, cluster2, POINT, 23:51:03.787, -38.39.27.279, 2.51106715202332, 0, 0, 0, [-0.848260939121246, 0], true, 200000000, , ,
GLEAM J233732-372843, cluster2, POINT, 23:37:32.497, -37.28.43.178, 2.47225666046143, 0, 0, 0, [-1.07017338275909, 0], true, 200000000, , ,
GLEAM J234355-313913, cluster2, POINT, 23:43:55.767, -31.39.13.223, 1.19437372684479, 0, 0, 0, [-0.943615674972534, 0], true, 200000000, , ,
GLEAM J231310-315749, cluster2, POINT, 23:13:10.986, -31.57.49.29, 2.95279407501221, 0, 0, 0, [-0.786662518978119, 0], true, 200000000, , ,
GLEAM J234854-311707, cluster2, POINT, 23:48:54.309, -31.17.07.943, 1.04434549808502, 0, 0, 0, [-0.747192323207855, 0], true, 200000000, , ,
GLEAM J000936-321640, cluster2, POINT, 00:09:36.272, -32.16.40.676, 0.961496770381927, 0, 0, 0, [-0.54943585395813, 0], true, 200000000, , ,
GLEAM J235137-300751, cluster2, POINT, 23:51:37.383, -30.07.51.629, 0.8727707862854, 0, 0, 0, [-0.795183658599854, 0], true, 200000000, , ,
GLEAM J000552-352156, cluster2, POINT, 00:05:52.822, -35.21.56.492, 1.14427030086517, 0, 0, 0, [-0.91772985458374, 0], true, 200000000, , ,
GLEAM J225303-405744, cluster2, POINT, 22:53:03.45, -40.57.44.195, 20.9236736297607, 0, 0, 0, [-0.776771426200867, 0], true, 200000000, , ,
